,Title,Published_date,Views,Likes,Dislikes,Comments,videoid
0,Moving On,2024-04-22,6289,342,0,72,QEDZaBMozIo
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2376,70,0,21,Hyhfa7z0jTk
2,A Data Dream Come True,2023-11-17,2221,92,0,23,L5Cis5bOwgw
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6084,402,0,77,M1I5HlzQges
4,How to Survive a Down Data Job Market,2023-09-05,17158,565,0,63,T_-0l0ORi5I
5,The Harsh Reality of the Data Job Market,2023-08-24,107507,2611,0,294,w13zJB_jyBI
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6278,246,0,41,oZ9rMrqyTbI
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4276,132,0,48,6BrYKdqq4uA
8,7 Enticing Jobs AI Will Create,2023-07-24,4754,199,0,37,1dAvbIMrLos
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4133,144,0,31,lqYxmYMkfK8
10,Exciting Announcement!,2023-06-23,6678,298,0,50,-JTU734oMfk
11,AI: A Customer Service Revolution?,2023-05-26,3934,123,0,35,HVpbmu7rFYE
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,43767,1426,0,59,NQQ3DRdXAXE
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,34798,1470,0,77,xpi-M2j3NmE
14,This AI question will determine our future,2023-04-06,4299,261,0,37,X07w7QFoLpc
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71348,836,0,78,RRnThAtKuq0
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8427,484,0,7,r3zOpjEOkgE
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7573,406,0,2,s-XYFEzy9Wc
18,you're job searching wrong. #shorts,2023-03-23,4431,262,0,3,iBh1wl4o6V4
19,The Economics of Data Roles #shorts,2023-03-21,9942,603,0,12,L6lXKdP4Qbg
20,Why your phone knows everything you say #shorts,2023-03-18,3476,161,0,8,xGDl6rlBygU
21,Read these for a successful career. #shorts,2023-03-16,3187,247,0,2,SY6y6Y8C594
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2677,47,0,5,1RUj2aLQx8I
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,2875,138,0,1,MkzZXSw1Glk
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20679,765,0,51,9neDFXTxKxA
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8342,274,0,13,UaNNVukM27g
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2766,168,0,2,3lN0-S3symM
27,Learning On the companies dime #shorts,2023-02-24,3236,175,0,1,M-AN8eWLxms
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4431,278,0,6,MXFZhbvQqM8
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7249,405,0,6,54n61XjKifI
30,Don't Go into Data for the Money #shorts,2023-02-15,3804,220,0,12,pyWYIRR8rrE
31,First Data Science Project? Watch This.,2023-02-13,7725,375,0,24,onwRfbt--cw
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3694,244,0,7,u6P23ouSYhA
33,The Hard Reality of Data Science Work #shorts,2023-02-06,16670,886,0,17,RMMVuvS7S_g
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4827,195,0,6,5AwbPAV8FS0
